Image,Label
test_1234,coral_reef
test_1235,trolleybus
test_1236,bucket
test_1237,jellyfish
test_1238,banana
test_1239,king_penguin
test_124,CD_player
test_1240,scoreboard
test_1241,slug
test_1242,jinrikisha
test_1243,turnstile
test_1244,crane
test_1245,turnstile
test_1246,-
test_1247,CD_player
test_1248,stopwatch
test_1249,beach_wagon
test_125,scoreboard
test_1250,steel_arch_bridge
test_1251,steel_arch_bridge
test_1252,sunglasses
test_1253,parking_meter
test_1254,bullet_train
test_1255,brass
test_1256,backpack
test_1257,bullet_train
test_1258,limousine
test_1259,lakeside
test_126,jellyfish
test_1260,gondola
test_1261,pill_bottle
test_1262,turnstile
test_1263,-
test_1264,computer_keyboard
test_1265,cardigan
test_1266,orange
test_1267,trolleybus
test_1268,CD_player
test_1269,scoreboard
test_127,backpack
test_1270,turnstile
test_1271,refrigerator
test_1272,sports_car
test_1273,barrel
test_1274,bullet_train
test_1275,steel_arch_bridge
test_1276,scoreboard
test_1277,steel_arch_bridge
test_1278,computer_keyboard
test_1279,cash_machine
test_128,CD_player
test_1280,turnstile
test_1281,-
test_1282,CD_player
test_1283,fly
test_1284,computer_keyboard
test_1285,turnstile
test_1286,scoreboard
test_1287,iPod
test_1288,freight_car
test_1289,jinrikisha
test_129,water_tower
test_1290,turnstile
test_1291,brass
test_1292,CD_player
test_1293,computer_keyboard
test_1294,steel_arch_bridge
test_1295,scoreboard
test_1296,turnstile
test_1297,space_heater
test_1298,albatross
test_1299,CD_player
test_13,stopwatch
test_130,gondola
test_1300,apron
test_1301,scoreboard
test_1302,brass
test_1303,coral_reef
test_1304,space_heater
test_1305,freight_car
test_1306,water_jug
test_1307,scoreboard
test_1308,remote_control
test_1309,cash_machine
test_131,scoreboard
test_1310,pop_bottle
test_1311,freight_car
test_1312,-
test_1313,cash_machine
test_1314,moving_van
test_1315,confectionery
test_1316,brass
test_1317,scoreboard
test_1318,scoreboard
test_1319,gasmask
test_132,crane
test_1320,crane
test_1321,scoreboard
test_1322,scoreboard
test_1323,iPod
test_1324,cash_machine
test_1325,computer_keyboard
test_1326,brass
test_1327,drumstick
test_1328,slug
test_1329,CD_player
test_133,turnstile
test_1330,comic_book
test_1331,turnstile
test_1332,scoreboard
test_1333,maypole
test_1334,picket_fence
test_1335,trolleybus
test_1336,turnstile
test_1337,brass
test_1338,steel_arch_bridge
test_1339,moving_van
test_134,brass
test_1340,spiny_lobster
test_1341,goose
test_1342,crane
test_1343,scoreboard
test_1344,triumphal_arch
test_1345,seashore
test_1346,refrigerator
test_1347,spiny_lobster
test_1348,cardigan
test_1349,steel_arch_bridge
test_135,turnstile
test_1350,refrigerator
test_1351,albatross
test_1352,computer_keyboard
test_1353,beaker
test_1354,alp
test_1355,jellyfish
test_1356,refrigerator
test_1357,turnstile
test_1358,scoreboard
test_1359,fountain
test_136,cash_machine
test_1360,scoreboard
test_1361,koala
test_1362,freight_car
test_1363,beach_wagon
test_1364,brass
test_1365,freight_car
test_1366,water_tower
test_1367,turnstile
test_1368,computer_keyboard
test_1369,butcher_shop
test_137,alp
test_1370,albatross
test_1371,refrigerator
test_1372,scoreboard
test_1373,scoreboard
test_1374,jinrikisha
test_1375,sock
test_1376,pole
test_1377,sports_car
test_1378,scoreboard
test_1379,turnstile
test_138,gondola
test_1380,organ
test_1381,scoreboard
test_1382,iPod
test_1383,steel_arch_bridge
test_1384,turnstile
test_1385,computer_keyboard
test_1386,scoreboard
test_1387,albatross
test_1388,gondola
test_1389,scoreboard
test_139,turnstile
test_1390,picket_fence
test_1391,CD_player
test_1392,CD_player
test_1393,suspension_bridge
test_1394,stopwatch
test_1395,crane
test_1396,brass
test_1397,nail
test_1398,scoreboard
test_1399,space_heater
test_14,turnstile
test_140,cash_machine
test_1400,scoreboard
test_1401,jinrikisha
test_1402,cash_machine
test_1403,moving_van
test_1404,space_heater
test_1405,backpack
test_1406,trolleybus
test_1407,beach_wagon
test_1408,freight_car
test_1409,moving_van
test_141,steel_arch_bridge
test_1410,scoreboard
test_1411,turnstile
test_1412,steel_arch_bridge
test_1413,scoreboard
test_1414,refrigerator
test_1415,reel
test_1416,CD_player
test_1417,albatross
test_1418,poncho
test_1419,cash_machine
test_142,-
test_1420,CD_player
test_1421,brass
test_1422,barbershop
test_1423,barrel
test_1424,scorpion
test_1425,scoreboard
test_1426,hourglass
test_1427,steel_arch_bridge
test_1428,chest
test_1429,turnstile
test_143,apron
test_1430,scoreboard
test_1431,brass
test_1432,bucket
test_1433,scoreboard
test_1434,computer_keyboard
test_1435,space_heater
test_1436,chest
test_1437,scoreboard
test_1438,birdhouse
test_1439,pill_bottle
test_144,moving_van
test_1440,scoreboard
test_1441,-
test_1442,cash_machine
test_1443,sandal
test_1444,scoreboard
test_1445,crane
test_1446,crane
test_1447,coral_reef
test_1448,CD_player
test_1449,steel_arch_bridge
test_145,turnstile
test_1450,barrel
test_1451,poncho
test_1452,CD_player
test_1453,sea_slug
test_1454,poncho
test_1455,albatross
test_1456,bullet_train
test_1457,sewing_machine
test_1458,crane
test_1459,beer_bottle
test_146,bullet_train
test_1460,moving_van
test_1461,cliff
test_1462,CD_player
test_1463,parking_meter
test_1464,moving_van
test_1465,scoreboard
test_1466,pill_bottle
test_1467,fountain
test_1468,scoreboard
test_1469,steel_arch_bridge
test_147,swimming_trunks
test_1470,snorkel
test_1471,rugby_ball
test_1472,turnstile
test_1473,scoreboard
test_1474,abacus
test_1475,CD_player
test_1476,scoreboard
test_1477,gondola
test_1478,computer_keyboard
test_1479,turnstile
test_148,lifeboat
test_1480,pill_bottle
test_1481,scoreboard
test_1482,jinrikisha
test_1483,scoreboard
test_1484,brass
test_1485,cash_machine
test_1486,-
test_1487,turnstile
test_1488,organ
test_1489,pill_bottle
test_149,beacon
test_1490,space_heater
test_1491,flagpole
test_1492,turnstile
test_1493,apron
test_1494,convertible
test_1495,scoreboard
test_1496,brass
test_1497,scoreboard
test_1498,parking_meter
test_1499,scoreboard
test_15,sports_car
test_150,turnstile
test_1500,gondola
test_1501,lakeside
test_1502,flagpole
test_1503,freight_car
test_1504,bullet_train
test_1505,abacus
test_1506,desk
test_1507,bullet_train
test_1508,scoreboard
test_1509,brass
test_151,sock
test_1510,sunglasses
test_1511,computer_keyboard
test_1512,pole
test_1513,coral_reef
test_1514,parking_meter
test_1515,CD_player
test_1516,albatross
test_1517,gondola
test_1518,CD_player
test_1519,iPod
test_152,sock
test_1520,jellyfish
test_1521,turnstile
test_1522,hog
test_1523,CD_player
test_1524,gondola
test_1525,freight_car
test_1526,remote_control
test_1527,scoreboard
test_1528,brass
test_1529,brass
test_153,beaker
test_1530,beach_wagon
test_1531,turnstile
test_1532,iPod
test_1533,computer_keyboard
test_1534,brass
test_1535,scoreboard
test_1536,viaduct
test_1537,scoreboard
test_1538,scoreboard
test_1539,scoreboard
test_154,scoreboard
test_1540,jellyfish
test_1541,space_heater
test_1542,turnstile
test_1543,drumstick
test_1544,iPod
test_1545,refrigerator
test_1546,brass
test_1547,computer_keyboard
test_1548,scoreboard
test_1549,scoreboard
test_155,scoreboard
test_1550,turnstile
test_1551,scoreboard
test_1552,rocking_chair
test_1553,brass
test_1554,scoreboard
test_1555,iPod
test_1556,parking_meter
test_1557,cash_machine
test_1558,scoreboard
test_1559,jellyfish
test_156,police_van
test_1560,parking_meter
test_1561,neck_brace
test_1562,bullet_train
test_1563,CD_player
test_1564,steel_arch_bridge
test_1565,pill_bottle
test_1566,scoreboard
test_1567,reel
test_1568,projectile
test_1569,CD_player
test_157,scoreboard
test_1570,bullet_train
test_1571,jellyfish
test_1572,umbrella
test_1573,freight_car
test_1574,jellyfish
test_1575,gondola
test_1576,steel_arch_bridge
test_1577,teapot
test_1578,comic_book
test_1579,moving_van
test_158,brass
test_1580,coral_reef
test_1581,CD_player
test_1582,steel_arch_bridge
test_1583,cardigan
test_1584,swimming_trunks
test_1585,-
test_1586,computer_keyboard
test_1587,pop_bottle
test_1588,bannister
test_1589,cash_machine
test_159,scoreboard
test_1590,turnstile
test_1591,turnstile
test_1592,water_tower
test_1593,jellyfish
test_1594,flagpole
test_1595,brass
test_1596,CD_player
test_1597,umbrella
test_1598,lakeside
test_1599,pop_bottle
test_16,brass
test_160,turnstile
test_1600,brass
test_1601,turnstile
test_1602,scoreboard
test_1603,coral_reef
test_1604,CD_player
test_1605,-
test_1606,steel_arch_bridge
test_1607,alp
test_1608,cash_machine
test_1609,pay-phone
test_161,brass
test_1610,turnstile
test_1611,spiny_lobster
test_1612,CD_player
test_1613,space_heater
test_1614,poncho
test_1615,beacon
test_1616,brass
test_1617,turnstile
test_1618,-
test_1619,bathtub
test_162,flagpole
test_1620,pop_bottle
test_1621,CD_player
test_1622,scoreboard
test_1623,limousine
test_1624,scoreboard
test_1625,hourglass
test_1626,space_heater
test_1627,pole
test_1628,wok
test_1629,scoreboard
test_163,scoreboard
test_1630,freight_car
test_1631,pop_bottle
test_1632,jellyfish
test_1633,CD_player
test_1634,abacus
test_1635,water_tower
test_1636,trolleybus
test_1637,scoreboard
test_1638,lifeboat
test_1639,apron
test_164,CD_player
test_1640,CD_player
test_1641,-
test_1642,poncho
test_1643,space_heater
test_1644,scoreboard
test_1645,brass
test_1646,scoreboard
test_1647,scoreboard
test_1648,desk
test_1649,computer_keyboard
test_165,bullet_train
test_1650,triumphal_arch
test_1651,computer_keyboard
test_1652,scoreboard
test_1653,computer_keyboard
test_1654,sock
test_1655,moving_van
test_1656,CD_player
test_1657,turnstile
test_1658,iPod
test_1659,sandal
test_166,turnstile
test_1660,scoreboard
test_1661,dining_table
test_1662,steel_arch_bridge
test_1663,lifeboat
test_1664,goose
test_1665,computer_keyboard
test_1666,CD_player
test_1667,steel_arch_bridge
test_1668,remote_control
test_1669,scoreboard
test_167,scoreboard
test_1670,CD_player
test_1671,CD_player
test_1672,cash_machine
test_1673,beach_wagon
test_1674,scoreboard
test_1675,computer_keyboard
test_1676,convertible
test_1677,brass
test_1678,steel_arch_bridge
test_1679,crane
test_168,cash_machine
test_1680,steel_arch_bridge
test_1681,seashore
test_1682,CD_player
test_1683,scoreboard
test_1684,convertible
test_1685,organ
test_1686,scoreboard
test_1687,flagpole
test_1688,seashore
test_1689,apron
test_169,jellyfish
test_1690,jellyfish
test_1691,steel_arch_bridge
test_1692,poncho
test_1693,beacon
test_1694,-
test_1695,pill_bottle
test_1696,king_penguin
test_1697,trolleybus
test_1698,oboe
test_1699,-
test_17,scoreboard
test_170,space_heater
test_1700,steel_arch_bridge
test_1701,-
test_1702,ladybug
test_1703,scoreboard
test_1704,butcher_shop
test_1705,bullet_train
test_1706,rocking_chair
test_1707,scoreboard
test_1708,jinrikisha
test_1709,water_jug
test_171,brown_bear
test_1710,scoreboard
test_1711,turnstile
test_1712,scoreboard
test_1713,scoreboard
test_1714,altar
test_1715,black_stork
test_1716,school_bus
test_1717,magnetic_compass
test_1718,picket_fence
test_1719,space_heater
test_172,limousine
test_1720,brass
test_1721,scoreboard
test_1722,cash_machine
test_1723,parking_meter
test_1724,brass
test_1725,candle
test_1726,police_van
test_1727,CD_player
test_1728,brass
test_1729,remote_control
test_173,turnstile
test_1730,scoreboard
test_1731,scoreboard
test_1732,scoreboard
test_1733,computer_keyboard
test_1734,king_penguin
test_1735,brass
test_1736,confectionery
test_1737,-
test_1738,brass
test_1739,bannister
test_174,pill_bottle
test_1740,cash_machine
test_1741,convertible
test_1742,CD_player
test_1743,trolleybus
test_1744,orange
test_1745,confectionery
test_1746,albatross
test_1747,chest
test_1748,dam
test_1749,sock
test_175,scoreboard
test_1750,turnstile
test_1751,turnstile
test_1752,umbrella
test_1753,turnstile
test_1754,dam
test_1755,convertible
test_1756,sports_car
test_1757,scoreboard
test_1758,scoreboard
test_1759,beaker
test_176,CD_player
test_1760,stopwatch
test_1761,bathtub
test_1762,turnstile
test_1763,freight_car
test_1764,gondola
test_1765,police_van
test_1766,steel_arch_bridge
test_1767,police_van
test_1768,computer_keyboard
test_1769,computer_keyboard
test_177,turnstile
test_1770,jellyfish
test_1771,steel_arch_bridge
test_1772,scoreboard
test_1773,cash_machine
test_1774,cash_machine
test_1775,-
test_1776,computer_keyboard
test_1777,parking_meter
test_1778,bucket
test_1779,umbrella
test_178,academic_gown
test_1780,apron
test_1781,hourglass
test_1782,beach_wagon
test_1783,turnstile
test_1784,scoreboard
test_1785,snorkel
test_1786,bannister
test_1787,king_penguin
test_1788,organ
test_1789,police_van
test_179,turnstile
test_1790,scoreboard
test_1791,cash_machine
test_1792,umbrella
test_1793,brass
test_1794,turnstile
test_1795,oboe
test_1796,limousine
test_1797,refrigerator
test_1798,brain_coral
test_1799,CD_player
test_18,albatross
test_180,space_heater
test_1800,umbrella
test_1801,fountain
test_1802,freight_car
test_1803,CD_player
test_1804,brass
test_1805,CD_player
test_1806,steel_arch_bridge
test_1807,scoreboard
test_1808,space_heater
test_1809,scoreboard
test_181,scoreboard
test_1810,brass
test_1811,poncho
test_1812,bannister
test_1813,abacus
test_1814,brain_coral
test_1815,CD_player
test_1816,pill_bottle
test_1817,steel_arch_bridge
test_1818,drumstick
test_1819,king_penguin
test_182,scoreboard
test_1820,crane
test_1821,flagpole
test_1822,turnstile
test_1823,hourglass
test_1824,brass
test_1825,flagpole
test_1826,computer_keyboard
test_1827,albatross
test_1828,turnstile
test_1829,scoreboard
test_183,pill_bottle
test_1830,spiny_lobster
test_1831,-
test_1832,chain
test_1833,space_heater
test_1834,coral_reef
test_1835,comic_book
test_1836,lakeside
test_1837,guinea_pig
test_1838,jinrikisha
test_1839,bullet_train
test_184,sock
test_1840,abacus
test_1841,pole
test_1842,steel_arch_bridge
test_1843,space_heater
test_1844,turnstile
test_1845,cash_machine
test_1846,poncho
test_1847,scoreboard
test_1848,scoreboard
test_1849,police_van
test_185,crane
test_1850,CD_player
test_1851,CD_player
test_1852,turnstile
test_1853,CD_player
test_1854,pop_bottle
test_1855,scoreboard
test_1856,water_jug
test_1857,brass
test_1858,bullet_train
test_1859,seashore
test_186,alp
test_1860,freight_car
test_1861,umbrella
test_1862,crane
test_1863,CD_player
test_1864,freight_car
test_1865,poncho
test_1866,turnstile
test_1867,computer_keyboard
test_1868,chain
test_1869,cash_machine
test_187,picket_fence
test_1870,steel_arch_bridge
test_1871,CD_player
test_1872,gondola
test_1873,steel_arch_bridge
test_1874,king_penguin
test_1875,crane
test_1876,steel_arch_bridge
test_1877,turnstile
test_1878,abacus
test_1879,seashore
test_188,turnstile
test_1880,scoreboard
test_1881,triumphal_arch
test_1882,scoreboard
test_1883,refrigerator
test_1884,pole
test_1885,scoreboard
test_1886,stopwatch
test_1887,-
test_1888,spider_web
test_1889,brass
test_189,bannister
test_1890,reel
test_1891,space_heater
test_1892,CD_player
test_1893,moving_van
test_1894,suspension_bridge
test_1895,confectionery
test_1896,scoreboard
test_1897,gondola
test_1898,tractor
test_1899,water_tower
test_19,scoreboard
test_190,brass
test_1900,pill_bottle
test_1901,steel_arch_bridge
test_1902,CD_player
test_1903,turnstile
test_1904,CD_player
test_1905,cash_machine
test_1906,scoreboard
test_1907,steel_arch_bridge
test_1908,-
test_1909,fountain
test_191,turnstile
test_1910,scoreboard
test_1911,scoreboard
test_1912,freight_car
test_1913,freight_car
test_1914,cliff
test_1915,orange
test_1916,albatross
test_1917,scoreboard
test_1918,barn
test_1919,brass
test_192,jellyfish
test_1920,steel_arch_bridge
test_1921,scoreboard
test_1922,sports_car
test_1923,trolleybus
test_1924,turnstile
test_1925,brass
test_1926,CD_player
test_1927,cash_machine
test_1928,organ
test_1929,turnstile
test_193,hourglass
test_1930,potter's_wheel
test_1931,turnstile
test_1932,stopwatch
test_1933,cash_machine
test_1934,lifeboat
test_1935,scoreboard
test_1936,parking_meter
test_1937,hourglass
test_1938,abacus
test_1939,space_heater
test_194,gondola
test_1940,computer_keyboard
test_1941,CD_player
test_1942,turnstile
test_1943,CD_player
test_1944,umbrella
test_1945,scoreboard
test_1946,cockroach
test_1947,brass
test_1948,convertible
test_1949,abacus
test_195,brass
test_1950,scoreboard
test_1951,oboe
test_1952,brass
test_1953,convertible
test_1954,space_heater
test_1955,beacon
test_1956,gondola
test_1957,computer_keyboard
test_1958,-
test_1959,scoreboard
test_196,scoreboard
test_1960,CD_player
test_1961,gondola
test_1962,lakeside
test_1963,bullet_train
test_1964,jellyfish
test_1965,chain
test_1966,lifeboat
test_1967,turnstile
test_1968,brass
test_1969,turnstile
test_197,turnstile
test_1970,sports_car
test_1971,drumstick
test_1972,gondola
test_1973,sports_car
test_1974,brass
test_1975,cash_machine
test_1976,scoreboard
test_1977,sports_car
test_1978,computer_keyboard
test_1979,scoreboard
test_198,scoreboard
test_1980,scoreboard
test_1981,brass
test_1982,apron
test_1983,turnstile
test_1984,turnstile
test_1985,beach_wagon
test_1986,cash_machine
test_1987,scoreboard
test_1988,spiny_lobster
test_1989,scoreboard
test_199,brass
test_1990,CD_player
test_1991,bullet_train
test_1992,cash_machine
test_1993,chain
test_1994,jellyfish
test_1995,jellyfish
test_1996,bullet_train
test_1997,CD_player
test_1998,scoreboard
test_1999,steel_arch_bridge
test_2,scoreboard
test_20,scoreboard
test_200,scoreboard
test_2000,scoreboard
test_2001,Labrador_retriever
test_2002,scoreboard
test_2003,alp
test_2004,beaker
test_2005,CD_player
test_2006,bucket
test_2007,scoreboard
test_2008,spiny_lobster
test_2009,turnstile
test_201,scoreboard
test_2010,crane
test_2011,scoreboard
test_2012,brass
test_2013,freight_car
test_2014,scoreboard
test_2015,poncho
test_2016,spiny_lobster
test_2017,desk
test_2018,turnstile
test_2019,scoreboard
test_202,CD_player
test_2020,tractor
test_2021,turnstile
test_2022,beaker
test_2023,coral_reef
test_2024,scoreboard
test_2025,turnstile
test_2026,scoreboard
test_2027,brass
test_2028,sewing_machine
test_2029,chain
test_203,moving_van
test_2030,viaduct
test_2031,scoreboard
test_2032,scoreboard
test_2033,CD_player
test_2034,albatross
test_2035,moving_van
test_2036,turnstile
test_2037,suspension_bridge
test_2038,brass
test_2039,teapot
test_204,CD_player
test_2040,albatross
test_2041,steel_arch_bridge
test_2042,flagpole
test_2043,turnstile
test_2044,brass
test_2045,turnstile
test_2046,cash_machine
test_2047,bucket
test_2048,broom
test_2049,albatross
test_205,beacon
test_2050,comic_book
test_2051,scoreboard
test_2052,lakeside
test_2053,albatross
test_2054,abacus
test_2055,CD_player
test_2056,brass
test_2057,refrigerator
test_2058,scoreboard
test_2059,turnstile
test_206,school_bus
test_2060,refrigerator
test_2061,stopwatch
test_2062,brass
test_2063,trolleybus
test_2064,turnstile
test_2065,bannister
test_2066,freight_car
test_2067,pill_bottle
test_2068,water_tower
test_2069,cash_machine
test_207,brass
test_2070,steel_arch_bridge
test_2071,freight_car
test_2072,turnstile
test_2073,scoreboard
test_2074,scoreboard
test_2075,orange
test_2076,scoreboard
test_2077,scoreboard
test_2078,desk
test_2079,scoreboard
test_208,cash_machine
test_2080,organ
test_2081,bucket
test_2082,CD_player
test_2083,brass
test_2084,CD_player
test_2085,scoreboard
test_2086,goose
test_2087,water_tower
test_2088,-
test_2089,fly
test_209,beach_wagon
test_2090,pop_bottle
test_2091,brass
test_2092,bucket
test_2093,flagpole
test_2094,cannon
test_2095,scoreboard
test_2096,space_heater
test_2097,scoreboard
test_2098,beaker
test_2099,gondola
test_21,scoreboard
test_210,water_tower
test_2100,backpack
test_2101,cash_machine
test_2102,gondola
test_2103,cash_machine
test_2104,poncho
test_2105,scoreboard
test_2106,steel_arch_bridge
test_2107,backpack
test_2108,jinrikisha
test_2109,scoreboard
test_211,space_heater
test_2110,computer_keyboard
test_2111,reel
test_2112,brass
test_2113,CD_player
test_2114,guinea_pig
test_2115,crane
test_2116,turnstile
test_2117,moving_van
test_2118,comic_book
test_2119,scoreboard
test_212,fountain
test_2120,CD_player
test_2121,bannister
test_2122,CD_player
test_2123,computer_keyboard
test_2124,scoreboard
test_2125,scoreboard
test_2126,scoreboard
test_2127,alp
test_2128,moving_van
test_2129,scoreboard
test_213,cash_machine
test_2130,CD_player
test_2131,crane
test_2132,scoreboard
test_2133,CD_player
test_2134,turnstile
test_2135,abacus
test_2136,space_heater
test_2137,cannon
test_2138,abacus
test_2139,scoreboard
test_214,chest
test_2140,CD_player
test_2141,seashore
test_2142,snorkel
test_2143,sewing_machine
test_2144,backpack
test_2145,turnstile
test_2146,scoreboard
test_2147,-
test_2148,cash_machine
test_2149,jellyfish
test_215,poncho
test_2150,Labrador_retriever
test_2151,bannister
test_2152,CD_player
test_2153,turnstile
test_2154,space_heater
test_2155,bucket
test_2156,poncho
test_2157,beaker
test_2158,bullet_train
test_2159,brass
test_216,sea_slug
test_2160,scoreboard
test_2161,trolleybus
test_2162,scoreboard
test_2163,organ
test_2164,computer_keyboard
test_2165,crane
test_2166,space_heater
test_2167,crane
test_2168,abacus
test_2169,abacus
test_217,bullet_train
test_2170,apron
test_2171,freight_car
test_2172,brain_coral
test_2173,CD_player
test_2174,bullet_train
test_2175,lifeboat
test_2176,magnetic_compass
test_2177,turnstile
test_2178,goose
test_2179,poncho
test_218,scoreboard
test_2180,abacus
test_2181,CD_player
test_2182,bucket
test_2183,beach_wagon
test_2184,reel
test_2185,torch
test_2186,chain
test_2187,brass
test_2188,bullet_train
test_2189,freight_car
test_219,scoreboard
test_2190,scoreboard
test_2191,bannister
test_2192,syringe
test_2193,flagpole
test_2194,cash_machine
test_2195,pill_bottle
test_2196,scoreboard
test_2197,computer_keyboard
test_2198,lifeboat
test_2199,freight_car
test_22,moving_van
test_220,water_tower
test_2200,turnstile
test_2201,turnstile
test_2202,fountain
test_2203,apron
test_2204,bannister
test_2205,scoreboard
test_2206,flagpole
test_2207,scoreboard
test_2208,altar
test_2209,birdhouse
test_221,refrigerator
test_2210,turnstile
test_2211,albatross
test_2212,brass
test_2213,scoreboard
test_2214,CD_player
test_2215,cash_machine
test_2216,scoreboard
test_2217,chest
test_2218,jellyfish
test_2219,turnstile
test_222,albatross
test_2220,pole
test_2221,brass
test_2222,rocking_chair
test_2223,spiny_lobster
test_2224,sea_slug
test_2225,computer_keyboard
test_2226,walking_stick
test_2227,bee
test_2228,-
test_2229,pop_bottle
test_223,magnetic_compass
test_2230,apron
test_2231,volleyball
test_2232,scoreboard
test_2233,space_heater
test_2234,backpack
test_2235,brass
test_2236,jinrikisha
test_2237,turnstile
test_2238,steel_arch_bridge
test_2239,scoreboard
test_224,scoreboard
